1,1,0.0,1.316,-0.068,1.05,0.028,0.54,-0.512,1.258,0.053,0.85243,-0.148,0.844,-0.239,0.60536,-0.287,0.635,-0.459,0.661,-0.172,0.286,-0.44,0.198,-0.502,0.571,-0.333,0.314,-0.46168,0.161,-0.394,0.282,-0.346,0.117,-0.598
0,1,0.0,1.332,-0.18829,0.668,-0.285,-0.15,-1.206,1.243,-0.049,0.657,-0.67743,0.282,-0.621,-0.561,-1.181,0.04,-0.888,0.417,-1.038,-0.13151,-0.513,-0.186,-0.238,-0.29,-0.17,-0.2,-0.151,-0.131,-0.134,-0.163,-0.041,-0.199,-0.013
1,1.294,0.0,1.465,-0.044,1,0.007,0.83,-0.181,0.487,0.01198,0.73082,0.063,0.671,0.012,0.576,0.003,1.154,-0.13644,0.818,-0.056,0.957,-0.151,0.452,-0.144,0.497,-0.301,0.771,-0.186,0.353,-0.169,0.772,-0.192,0.588,-0.548
0,1,0.0,1,-0.237,1.118,1.277,0.999,-0.656,0.0,0.0,0.0,0.0,0.0,0.0,-0.583,0.138,0.745,-0.465,-0.601,-0.54467,-0.977,1.371,0.0,0.0,1.46,0.485,0.387,1.236,0.656,-0.281,0.233,0.833,-0.217,1
1,1,0.0,0.739,-0.033,1.131,0.064,1.326,-0.336,0.56,-0.158,0.479,-0.20275,0.515,-0.005,0.412,-0.36,0.404,-0.306,0.233,-0.093,0.076,-0.46,0.013,-0.368,0.039,-0.94,0.165,-0.53206,0.029,-0.568,-0.066,-0.678,-0.04608,-0.88
0,0.666,0.0,0.022,-0.006,-0.09924,-0.175,-0.005,-0.07,0.221,0.067,0.054,-0.075,0.0,0.0,-0.066,-0.15,-0.005,-0.10196,-0.137,-0.039,0.027,0.031,0.012,0.005,0.024,-0.01,-0.018,0.09223,-0.053,0.009,0.0,0.0,-0.0,0.12011
1,0.605,0.0,0.607,-0.086,0.933,-0.227,0.806,-0.408,0.528,-0.212,0.79766,-0.494,1.125,-0.379,0.853,-0.718,0.741,-0.85,0.459,-0.73641,0.44,-1.136,0.201,-1.115,0.314,-0.948,0.102,-0.934,0.037,-1.074,-0.042,-0.81318,-0.087,-0.80975
0,0,0.0,0.0,0.0,0.0,0,1,-1.328,0.0,0.0,-0.942,-1.183,0.0,0.0,0.0,0.0,1.456,1.092,-1.177,-0.668,0.0,0.0,0,0.0,1.062,0.65,1.469,1.485,0.0,0.0,1.163,1.025,0.0,0.0
1,1,0.0,0.75,-0.044,1.103,-0.106,0.988,-0.109,1.047,-0.517,0.714,-0.323,0.641,-0.362,0.484,-0.62,1.071,-0.188,0.662,-0.666,1.113,-0.904,0.69637,-0.844,0.892,-0.65440,0.464,-0.939,0.296,-0.942,0.45114,-0.864,0.275,-0.885
0,1,0.0,-0.014,-0.074,0.0,0.0,0.0,0.0,0.068,-0.311,-0.45663,-0.414,0.0,0.0,-0.473,0.21,-0.5,0.131,0.566,0.234,0.0,0.0,0.0,0.0,-0.155,-0.007,0.254,-0.012,0.0,0.0,0.16595,0.136,-0.097,0.38065
1,1,0.0,1,0.037,1.029,-0.132,0.965,-0.145,0.508,-0.248,0.658,-0.311,1.102,-0.479,1.311,-0.315,1.136,-0.76,0.69876,-1.048,0.561,-0.961,0.927,-0.712,0.825,-0.475,0.259,-1.293,0.419,-0.911,0.261,-0.697,0.323,-0.89158
